OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641829740,40834.18000000,40874.24000000,40800.00000000,40800.00000000,52.04687000,1641829799,2125310.06972160,1446,28.58043000,1167268.98050420
1641829800,40824.83000000,40829.43000000,40756.27000000,40756.27000000,45.54447000,1641829859,1857793.87890510,1182,10.86178000,443026.87225030
1641829860,40775.32000000,40849.98000000,40755.00000000,40755.00000000,61.26427000,1641829919,2499050.43953520,1379,33.58619000,1369957.99934170
1641829920,40800.51000000,40860.65000000,40783.12000000,40783.12000000,37.33461000,1641829979,1523467.07669680,1188,21.78147000,888807.46327920
1641829980,40851.13000000,40855.86000000,40789.72000000,40789.72000000,56.99807000,1641830039,2326932.12202830,1354,23.19563000,947003.38443560
1641830040,40833.04000000,40949.03000000,40797.09000000,40797.09000000,56.42801000,1641830099,2307387.74741600,1299,34.48565000,1410180.63769660
1641830100,40905.29000000,40908.15000000,40842.45000000,40842.45000000,42.68066000,1641830159,1745054.48956690,851,21.11080000,863148.68620770
1641830160,40850.01000000,40871.02000000,40816.89000000,40816.89000000,18.48343000,1641830219,754948.53772730,650,10.78626000,440603.27005320
1641830220,40867.99000000,40944.88000000,40856.86000000,40856.86000000,30.82458000,1641830279,1260394.92553980,832,19.80568000,809787.77001350
1641830280,40926.55000000,40969.41000000,40895.80000000,40895.80000000,19.65193000,1641830339,804498.51879110,757,11.57974000,474047.72385950
1641830340,40949.26000000,41030.00000000,40944.28000000,40944.28000000,45.06702000,1641830399,1847236.07175780,1056,28.49757000,1168031.12364210
1641830400,40984.34000000,40990.65000000,40891.83000000,40891.83000000,57.02144000,1641830459,2334789.00719040,1234,26.27958000,1076065.23977480
1641830460,40891.83000000,40993.51000000,40870.03000000,40870.03000000,38.02443000,1641830519,1556022.56656780,1055,22.90483000,937262.18896130
1641830520,40984.02000000,40988.90000000,40922.84000000,40922.84000000,35.37463000,1641830579,1448997.75755330,806,17.48235000,715984.66171950
